recipe_title,description,preparation_time,category,instruction,calories,protein,carbs,fats,"list of ingredients used (ingredient_name, quantity, unit, calories)"
Apple with Peanut Butter (Style #219),"Crisp, sweet apple slices paired perfectly with a serving of creamy peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Apple (with skin), Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",302,20g,32g,10g,(Apple (with skin); 15; grams; 8 kcal) | (Peanut butter; 50; grams; 294 kcal)
Classic Chocolate Chip Cookies (Style #220),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",19 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",2387,141g,254g,57g,(All-purpose flour; 150; grams; 546 kcal) | (Butter; 100; grams; 717 kcal) | (Sugar (granulated); 100; grams; 387 kcal) | (Brown sugar; 30; grams; 114 kcal) | (Chocolate chips (semi-sweet); 100; grams; 480 kcal) | (Large egg; 100; grams; 143 kcal)
Savory Breakfast Quinoa (Style #221),"A warm, protein-packed quinoa bowl cooked with savory garlic, spinach, and soft egg.",12 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Large egg). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",556,23g,66g,21g,(Quinoa (uncooked); 50; grams; 184 kcal) | (Large egg; 150; grams; 214 kcal) | (Spinach (raw); 15; grams; 3 kcal) | (Garlic; 15; grams; 22 kcal) | (Olive oil; 15; grams; 133 kcal)
Tomato Zucchini Pasta (Style #222),Al dente spaghetti tossed with freshly sauteed garden zucchini and rich tomato paste.,18 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spaghetti (dry), Zucchini). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",2055,150g,256g,65g,(Spaghetti (dry); 150; grams; 556 kcal) | (Zucchini; 30; grams; 5 kcal) | (Tomato paste; 150; grams; 123 kcal) | (Olive oil; 150; grams; 1326 kcal) | (Garlic; 30; grams; 45 kcal)
Garlic Butter Salmon (Style #223),Flaky pan-seared salmon fillet basted with a decadent garlic and herb butter sauce.,16 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Salmon fillet (raw), Butter). Step 3: Cook or assemble for 16 minutes. Step 4: Finish with remaining toppings and serve immediately.",1123,55g,151g,40g,(Salmon fillet (raw); 150; grams; 213 kcal) | (Butter; 100; grams; 717 kcal) | (Garlic; 100; grams; 149 kcal) | (Lemon; 150; grams; 44 kcal)
Celery and Peanut Butter (Style #224),"Crispy, refreshing celery stalks filled with rich, savory peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Celery, Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",590,34g,81g,22g,(Celery; 15; grams; 2 kcal) | (Peanut butter; 100; grams; 588 kcal)
Sweet Marshmallow Delights (Style #225),Gooey melted marshmallows blended into crispy puffed rice alternatives or simple treats.,11 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Marshmallows, Butter). Step 3: Cook or assemble for 11 minutes. Step 4: Finish with remaining toppings and serve immediately.",517,39g,64g,13g,(Marshmallows; 50; grams; 159 kcal) | (Butter; 50; grams; 358 kcal)
Classic French Toast (Style #226),"Golden pan-fried bread dipped in a rich, sweetened egg and dairy custard mixture.",8 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",1545,102g,184g,40g,(All-purpose flour; 150; grams; 546 kcal) | (Whole milk; 100; grams; 61 kcal) | (Large egg; 100; grams; 143 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 30; grams; 215 kcal)
Spinach and Feta Salad (Style #227),Crisp spinach greens tossed with tangy crumbles of feta cheese and roasted sunflower seeds.,7 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spinach (raw), Feta cheese). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",1080,57g,125g,27g,(Spinach (raw); 100; grams; 23 kcal) | (Feta cheese; 150; grams; 396 kcal) | (Sunflower seeds (hulled); 30; grams; 175 kcal) | (Olive oil; 50; grams; 442 kcal) | (Balsamic vinegar; 50; grams; 44 kcal)
Classic Pork Chop Dinner (Style #228),"Thick, juicy boneless pork chops pan-seared alongside seasoned roasted russet potatoes.",29 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pork chop (raw, boneless), Russet potato). Step 3: Cook or assemble for 29 minutes. Step 4: Finish with remaining toppings and serve immediately.",1549,79g,201g,37g,"(Pork chop (raw, boneless); 50; grams; 50 kcal) | (Russet potato; 30; grams; 24 kcal) | (Olive oil; 150; grams; 1326 kcal) | (Garlic; 100; grams; 149 kcal)"
Apple with Peanut Butter (Style #229),"Crisp, sweet apple slices paired perfectly with a serving of creamy peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Apple (with skin), Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",114,5g,13g,3g,(Apple (with skin); 50; grams; 26 kcal) | (Peanut butter; 15; grams; 88 kcal)
Avocado Chocolate Mousse (Style #230),A surprisingly rich and creamy healthy mousse combining ripe avocado with sweet cocoa powder.,14 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cocoa powder). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",402,28g,54g,9g,(Avocado; 15; grams; 24 kcal) | (Cocoa powder; 100; grams; 228 kcal) | (Maple syrup; 50; grams; 130 kcal) | (Almond milk (unsweetened); 150; grams; 20 kcal)
Peanut Butter Banana Oats (Style #231),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",8 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",264,17g,28g,7g,(Rolled oats; 15; grams; 57 kcal) | (Whole milk; 50; grams; 30 kcal) | (Peanut butter; 15; grams; 88 kcal) | (Banana; 100; grams; 89 kcal)
Chicken Rice Bowl (Style #232),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,22 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 22 minutes. Step 4: Finish with remaining toppings and serve immediately.",564,34g,72g,21g,(Chicken breast (raw); 50; grams; 60 kcal) | (White rice (uncooked); 50; grams; 180 kcal) | (Broccoli; 150; grams; 51 kcal) | (Soy sauce; 15; grams; 8 kcal) | (Sesame oil; 30; grams; 265 kcal)
Baked Cod with Asparagus (Style #233),Light and flaky wild cod fillet baked beautifully alongside tender asparagus spears.,18 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cod fillet (raw), Asparagus). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",948,57g,128g,29g,(Cod fillet (raw); 30; grams; 25 kcal) | (Asparagus; 150; grams; 30 kcal) | (Olive oil; 100; grams; 884 kcal) | (Lemon; 30; grams; 9 kcal)
Celery and Peanut Butter (Style #234),"Crispy, refreshing celery stalks filled with rich, savory peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Celery, Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",296,17g,40g,10g,(Celery; 15; grams; 2 kcal) | (Peanut butter; 50; grams; 294 kcal)
Classic Chocolate Chip Cookies (Style #235),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",20 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",873,40g,112g,30g,(All-purpose flour; 100; grams; 364 kcal) | (Butter; 15; grams; 108 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Brown sugar; 15; grams; 57 kcal) | (Chocolate chips (semi-sweet); 15; grams; 72 kcal) | (Large egg; 150; grams; 214 kcal)
Avocado Toast (Style #236),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,7 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",1166,68g,153g,42g,(Avocado; 100; grams; 160 kcal) | (All-purpose flour; 150; grams; 546 kcal) | (Olive oil; 50; grams; 442 kcal) | (Tomato; 100; grams; 18 kcal)
Turkey Club Salad (Style #237),Lean deli turkey strips served over crunchy iceberg lettuce with bacon and tomatoes.,13 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Turkey breast (raw), Bacon (raw)). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",667,26g,87g,18g,(Turkey breast (raw); 15; grams; 17 kcal) | (Bacon (raw); 100; grams; 417 kcal) | (Lettuce (iceberg); 15; grams; 2 kcal) | (Tomato; 150; grams; 27 kcal) | (Mayonnaise; 30; grams; 204 kcal)
Shrimp Scampi Noodles (Style #238),"Plump, juicy shrimp sauteed in a bright, savory garlic, lemon, and butter sauce over noodles.",20 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Shrimp (raw), Egg noodles (dry)). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",504,24g,61g,16g,(Shrimp (raw); 15; grams; 13 kcal) | (Egg noodles (dry); 50; grams; 190 kcal) | (Butter; 15; grams; 108 kcal) | (Garlic; 100; grams; 149 kcal) | (Lemon; 150; grams; 44 kcal)
Banana Almond Smoothie (Style #239),"A thick, satisfying blended snack featuring sweet banana, almond milk, and almond butter.",8 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Banana, Almond milk (unsweetened)). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",230,10g,28g,7g,(Banana; 50; grams; 44 kcal) | (Almond milk (unsweetened); 15; grams; 2 kcal) | (Almond butter; 30; grams; 184 kcal)
Sweet Marshmallow Delights (Style #240),Gooey melted marshmallows blended into crispy puffed rice alternatives or simple treats.,10 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Marshmallows, Butter). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",765,39g,101g,19g,(Marshmallows; 15; grams; 48 kcal) | (Butter; 100; grams; 717 kcal)
Cheesy Bacon Omelet (Style #241),A classic hearty three-egg omelet loaded with crispy bacon and melted cheddar.,13 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Bacon (raw)). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",815,39g,111g,21g,(Large egg; 50; grams; 72 kcal) | (Bacon (raw); 30; grams; 125 kcal) | (Cheddar cheese; 100; grams; 403 kcal) | (Butter; 30; grams; 215 kcal)
Quinoa Mediterranean Bowl (Style #242),"A refreshing whole-grain bowl mixed with cucumbers, tomatoes, and zesty feta cheese.",18 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Cucumber). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",989,69g,130g,34g,(Quinoa (uncooked); 150; grams; 552 kcal) | (Cucumber; 150; grams; 22 kcal) | (Tomato; 100; grams; 18 kcal) | (Feta cheese; 100; grams; 264 kcal) | (Olive oil; 15; grams; 133 kcal)
Turkey Rice Casserole (Style #243),Savory ground turkey combined with wholesome brown rice and sweet green peas.,30 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 30 minutes. Step 4: Finish with remaining toppings and serve immediately.",770,34g,90g,27g,(Ground turkey; 100; grams; 143 kcal) | (Brown rice (uncooked); 150; grams; 540 kcal) | (Green peas; 100; grams; 81 kcal) | (Yellow onion; 15; grams; 6 kcal)
Guacamole and Cucumber (Style #244),"Crisp, hydrating cucumber rounds used to scoop up creamy seasoned avocado mash.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cucumber). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",71,4g,9g,2g,(Avocado; 30; grams; 48 kcal) | (Cucumber; 50; grams; 8 kcal) | (Lime; 50; grams; 15 kcal)
Creamy Rice Pudding (Style #245),"Soft white rice simmered patiently in milk, sugar, and rich vanilla extract until thick.",38 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (White rice (uncooked), Whole milk). Step 3: Cook or assemble for 38 minutes. Step 4: Finish with remaining toppings and serve immediately.",650,33g,72g,16g,(White rice (uncooked); 150; grams; 540 kcal) | (Whole milk; 15; grams; 9 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Vanilla extract; 15; grams; 43 kcal)
Berry Oatmeal (Style #246),"A classic, heart-healthy rolled oats breakfast topped with sweet fresh berries.",6 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",402,19g,53g,15g,(Rolled oats; 30; grams; 114 kcal) | (Whole milk; 150; grams; 92 kcal) | (Blueberries; 100; grams; 57 kcal) | (Strawberries; 150; grams; 48 kcal) | (Honey; 30; grams; 91 kcal)
Chicken Rice Bowl (Style #247),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,18 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",326,21g,35g,10g,(Chicken breast (raw); 15; grams; 18 kcal) | (White rice (uncooked); 30; grams; 108 kcal) | (Broccoli; 150; grams; 51 kcal) | (Soy sauce; 30; grams; 16 kcal) | (Sesame oil; 15; grams; 133 kcal)
Ribeye Steak and Potatoes (Style #248),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",35 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 35 minutes. Step 4: Finish with remaining toppings and serve immediately.",807,41g,108g,21g,(Ribeye steak (raw); 15; grams; 44 kcal) | (Russet potato; 30; grams; 24 kcal) | (Butter; 100; grams; 717 kcal) | (Garlic; 15; grams; 22 kcal)
Banana Almond Smoothie (Style #249),"A thick, satisfying blended snack featuring sweet banana, almond milk, and almond butter.",8 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Banana, Almond milk (unsweetened)). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",364,24g,47g,14g,(Banana; 50; grams; 44 kcal) | (Almond milk (unsweetened); 100; grams; 13 kcal) | (Almond butter; 50; grams; 307 kcal)
Fudgy Cocoa Brownies (Style #250),"Rich, dense, and intensely chocolatey brownies made using dark cocoa powder.",27 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cocoa powder, Sugar (granulated)). Step 3: Cook or assemble for 27 minutes. Step 4: Finish with remaining toppings and serve immediately.",1543,63g,199g,36g,(Cocoa powder; 100; grams; 228 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Butter; 150; grams; 1076 kcal) | (All-purpose flour; 30; grams; 109 kcal) | (Large egg; 50; grams; 72 kcal)
